Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-12-11,The Burnt Orange Heresy,2019,https://boxd.it/5iPcCF,,,,2021-06-20
2023-12-11,Belle de Jour,1967,https://boxd.it/5iPcC1,5,,,2021-06-21
2023-12-11,Band of Outsiders,1964,https://boxd.it/5iPcCb,5,,,2021-06-21
2023-12-11,The Aviator,2004,https://boxd.it/5iPcCl,,,,2021-06-21
2023-12-11,Autumn Sonata,1978,https://boxd.it/5iPcCv,5,,,2021-06-21
2023-12-11,World War Z,2013,https://boxd.it/5iPcBR,,,,2021-06-25
2023-12-11,Upstream Color,2013,https://boxd.it/5iPcBx,4,,,2021-06-26
2023-12-11,Primer,2004,https://boxd.it/5iPcBH,5,,,2021-06-26
2023-12-11,Knives Out,2019,https://boxd.it/5iPcBd,3.5,,,2021-06-27
2023-12-11,Anna Karenina,2012,https://boxd.it/5iPcBn,4,,,2021-06-27
2023-12-11,The Young Girls of Rochefort,1967,https://boxd.it/5iPcw3,5,,,2021-07-03
2023-12-11,The Wolf of Wall Street,2013,https://boxd.it/5iPcwd,,,,2021-07-03
2023-12-11,The Wizard of Lies,2017,https://boxd.it/5iPcwn,,,,2021-07-03
2023-12-11,Wild Tales,2014,https://boxd.it/5iPcwx,4.5,,,2021-07-03
2023-12-11,The Witch,2015,https://boxd.it/5iPcwH,5,,,2021-07-03
2023-12-11,We Need to Talk About Kevin,2011,https://boxd.it/5iPcwR,5,,,2021-07-03
2023-12-11,Viridiana,1961,https://boxd.it/5iPcx1,5,,,2021-07-03
2023-12-11,The Virgin Suicides,1999,https://boxd.it/5iPcxb,,,,2021-07-03
2023-12-11,The Virgin Spring,1960,https://boxd.it/5iPcxl,4,,,2021-07-03
2023-12-11,The Tree of Life,2011,https://boxd.it/5iPcxv,4,,,2021-07-03
2023-12-11,Stalker,1979,https://boxd.it/5iPcxP,5,,,2021-07-03
2023-12-11,Snatch,2000,https://boxd.it/5iPcxZ,5,,,2021-07-03
2023-12-11,Shame,1968,https://boxd.it/5iPczL,5,,,2021-07-03
2023-12-11,Margin Call,2011,https://boxd.it/5iPczV,,,,2021-07-03
2023-12-11,The Maltese Falcon,1941,https://boxd.it/5iPcA5,,,,2021-07-03
2023-12-11,The Great Beauty,2013,https://boxd.it/5iPcAf,5,,,2021-07-03
2023-12-11,Elysium,2013,https://boxd.it/5iPcAp,3,,,2021-07-03
