Date,Name,Year,Letterboxd URI
2020-07-24,Andrei Rublev,1966,https://boxd.it/29lg
2020-07-24,Shame,1968,https://boxd.it/1tZo
2020-07-24,The Magician,1958,https://boxd.it/1nse
2020-07-24,Stalker,1979,https://boxd.it/28PO
2020-07-24,Mirror,1975,https://boxd.it/28Q8
2020-07-24,Belle de Jour,1967,https://boxd.it/29Uq
2020-07-24,The Exterminating Angel,1962,https://boxd.it/1nRS
2020-07-24,That Obscure Object of Desire,1977,https://boxd.it/22zg
2020-07-24,Viridiana,1961,https://boxd.it/24eE
2020-07-24,The Great Beauty,2013,https://boxd.it/5ty6
2020-07-24,Youth,2015,https://boxd.it/9Y7S
2020-07-24,The New Pope,2020,https://boxd.it/oWDC
2020-07-24,Fanny and Alexander,1982,https://boxd.it/22go
2020-07-24,Au Revoir les Enfants,1987,https://boxd.it/288U
2020-07-24,Watchmen,2009,https://boxd.it/1QE4
2020-07-24,There Will Be Blood,2007,https://boxd.it/20Z2
2020-07-24,The Tree of Life,2011,https://boxd.it/1Zu8
2020-07-24,The Young Girls of Rochefort,1967,https://boxd.it/26K8
2020-07-24,Pierrot le Fou,1965,https://boxd.it/26j2
2020-07-24,Band of Outsiders,1964,https://boxd.it/20Aw
2020-07-24,Cul-de-sac,1966,https://boxd.it/23QW
2020-07-24,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy
2020-07-25,Primer,2004,https://boxd.it/6YA
2020-07-25,The Royal Tenenbaums,2001,https://boxd.it/1YHU
2020-07-25,Pather Panchali,1955,https://boxd.it/22yC
2020-07-25,All That Jazz,1979,https://boxd.it/1JB8
2020-07-25,To Have and Have Not,1944,https://boxd.it/1Am4
2020-07-25,Casablanca,1942,https://boxd.it/2aG0
2022-03-22,Possessor,2020,https://boxd.it/fsJW
2022-03-22,Saint Maud,2019,https://boxd.it/l8QA
2022-03-22,Mandy,2018,https://boxd.it/gtti
2022-03-22,A Dark Song,2016,https://boxd.it/epo0
2022-03-22,The Witch,2015,https://boxd.it/9X0m
2023-12-11,Come True,2020,https://boxd.it/iG90
2023-12-23,mother!,2017,https://boxd.it/dgRU
2023-12-23,Persona,1966,https://boxd.it/29B4
2023-12-23,La Dolce Vita,1960,https://boxd.it/2anC
2023-12-23,Come and See,1985,https://boxd.it/1w9q
2023-12-24,I Saw the Devil,2010,https://boxd.it/FaK
2023-12-25,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq
2023-12-25,You Won't Be Alone,2022,https://boxd.it/xjIG
2023-12-27,Anima,2019,https://boxd.it/mxuc
2023-12-27,I Know This Much Is True,2020,https://boxd.it/pVeo
2023-12-27,Incendies,2010,https://boxd.it/Msm
2023-12-27,Sick of Myself,2022,https://boxd.it/tEzs
2023-12-28,Suspiria,2018,https://boxd.it/cioI
2023-12-28,Twin Peaks: The Return,2017,https://boxd.it/hN9O
2023-12-29,Twin Peaks: Fire Walk with Me,1992,https://boxd.it/27Qw
2023-12-29,Irma Vep,2022,https://boxd.it/BbgC
2023-12-29,Les Misérables,2012,https://boxd.it/2TT4
2023-12-29,Mare of Easttown,2021,https://boxd.it/u2h8
2023-12-29,The Haunting of Hill House,2018,https://boxd.it/kfJ0
2023-12-30,Mommy,2014,https://boxd.it/7Uau
2023-12-30,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk
2024-02-13,The Curse,2023,https://boxd.it/IWYq
2024-11-17,The North Water,2021,https://boxd.it/q0nq
2024-11-17,Sharp Objects,2018,https://boxd.it/j3NM
2024-11-17,Burning,2018,https://boxd.it/hHUa
2024-11-17,The Young Pope,2016,https://boxd.it/g3y2
2024-11-17,The Handmaiden,2016,https://boxd.it/948A
2024-11-17,Bone Tomahawk,2015,https://boxd.it/9kiw
2024-11-17,Whiplash,2014,https://boxd.it/7bQA
2024-11-17,Under the Skin,2013,https://boxd.it/3mDa
2024-11-17,Trainspotting,1996,https://boxd.it/29XY
2024-11-17,Pulp Fiction,1994,https://boxd.it/29Pq
2024-11-17,Autumn Sonata,1978,https://boxd.it/1Rio
2024-11-17,The Square,2017,https://boxd.it/e5YW
2024-11-17,A Girl Walks Home Alone at Night,2014,https://boxd.it/7nZE
2024-11-20,Euphoria: Trouble Don't Last Always,2020,https://boxd.it/ta4a
2024-11-20,Drive,2011,https://boxd.it/IG
2024-11-20,The Outwaters,2022,https://boxd.it/sgjS
2024-12-25,Poor Things,2023,https://boxd.it/tNWU
2024-12-25,American Fiction,2023,https://boxd.it/DYHm
2024-12-26,The Discreet Charm of the Bourgeoisie,1972,https://boxd.it/2440
2024-12-27,First Reformed,2017,https://boxd.it/go9C
2024-12-27,The Best Exotic Marigold Hotel,2011,https://boxd.it/2AJu
2025-01-05,Hour of the Wolf,1968,https://boxd.it/1H9G
2025-01-06,Caché,2005,https://boxd.it/2amY
2025-01-06,Anora,2024,https://boxd.it/Egcw
2025-01-07,Ivan's Childhood,1962,https://boxd.it/1j6y
2025-01-26,Before Sunrise,1995,https://boxd.it/2bcU
2025-01-26,Before Sunset,2004,https://boxd.it/2bcg
2025-01-27,Alice in the Cities,1974,https://boxd.it/27cG
