Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-04-13,Curations: Accessible Good Science Fiction,curations,https://boxd.it/FWlce,"Recent Sci-Fi films that are considered important achievements, but avoid transgressive content, and are engaging to a broader public."

Position,Name,Year,URL,Description
1,Blade Runner 2049,2017,https://boxd.it/b8wK,
2,Dune,2021,https://boxd.it/fA7G,
3,The Vast of Night,2019,https://boxd.it/kJyc,
4,After Yang,2021,https://boxd.it/lx5a,
5,Ex Machina,2015,https://boxd.it/7T2k,
6,Arrival,2016,https://boxd.it/aNGk,
7,The Creator,2023,https://boxd.it/oXWq,
8,Coherence,2013,https://boxd.it/6xza,
9,Another Earth,2011,https://boxd.it/rRA,
10,Her,2013,https://boxd.it/4O24,
11,Annihilation,2018,https://boxd.it/9yzm,
