Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-11-21,Curations: Characters I Love,curations,https://boxd.it/AALRo,"No matter if she/he's an asshole, a pervert, a complete nuthead, a bad decision-maker, or a sweetheart. If I love her/him, it goes straight into this list.

This curation was actually inspired by Bob Fosse’s masterful ALL THAT JAZZ. You obviously know which character I'm talking about."

Position,Name,Year,URL,Description
1,All That Jazz,1979,https://boxd.it/1JB8,
2,Belle de Jour,1967,https://boxd.it/29Uq,
3,The Great Beauty,2013,https://boxd.it/5ty6,
4,Andrei Rublev,1966,https://boxd.it/29lg,
5,Persona,1966,https://boxd.it/29B4,
6,Suspiria,2018,https://boxd.it/cioI,
7,Mommy,2014,https://boxd.it/7Uau,
8,Mosul,2019,https://boxd.it/mRBW,
9,Mandy,2018,https://boxd.it/gtti,
10,mother!,2017,https://boxd.it/dgRU,
11,Whiplash,2014,https://boxd.it/7bQA,
12,Drive,2011,https://boxd.it/IG,
13,Inglourious Basterds,2009,https://boxd.it/1JzG,
14,Fear and Loathing in Las Vegas,1998,https://boxd.it/27Xs,
15,The Young Girls of Rochefort,1967,https://boxd.it/26K8,
16,The Magician,1958,https://boxd.it/1nse,
17,Hour of the Wolf,1968,https://boxd.it/1H9G,
