Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-12-29,Curations: Classic Horror,curations,https://boxd.it/rffwK,"This curation contains films that are considered classics in the Horror genre.

Movies are in alphabetical ascending order."

Position,Name,Year,URL,Description
1,Rosemary's Baby,1968,https://boxd.it/29zM,
2,Rear Window,1954,https://boxd.it/2a6Q,
3,The Shining,1980,https://boxd.it/29Nu,
4,The Thing,1982,https://boxd.it/294O,
5,Rebecca,1940,https://boxd.it/2aQa,
6,Psycho,1960,https://boxd.it/2ab2,
7,Vertigo,1958,https://boxd.it/2apI,
8,Possession,1981,https://boxd.it/1BPm,
