Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-04-05,Curations: Cosmic Horror & Lovecraftian Atmosphere,curations,https://boxd.it/g50v4,"This curation contains films that in some way do tribute to H.P. Lovecraft & friends. The films may or may not be strictly cosmic horror <i>(as formally defined)<i>, however, all of them possess a Lovecraftian atmosphere, where there is something evil, out of this world, that we do not fully understand."

Position,Name,Year,URL,Description
1,Color Out of Space,2019,https://boxd.it/k1HY,
2,Annihilation,2018,https://boxd.it/9yzm,
3,The Void,2016,https://boxd.it/d93S,
4,Prince of Darkness,1987,https://boxd.it/1ZKq,
5,Mandy,2018,https://boxd.it/gtti,
6,The Empty Man,2020,https://boxd.it/iIWS,
7,The Ritual,2017,https://boxd.it/fo0I,
8,Black Mountain Side,2014,https://boxd.it/813g,
9,Sputnik,2020,https://boxd.it/lUya,
10,In the Mouth of Madness,1994,https://boxd.it/26vi,
11,Aniara,2018,https://boxd.it/hUMe,
12,From Beyond,1986,https://boxd.it/1NXi,
13,Beyond the Black Rainbow,2010,https://boxd.it/EzY,
14,Event Horizon,1997,https://boxd.it/20d8,
15,The Thing,1982,https://boxd.it/294O,
16,Alien,1979,https://boxd.it/2awY,
17,Sunshine,2007,https://boxd.it/28Xy,
18,The Lighthouse,2019,https://boxd.it/icFU,
19,The Endless,2017,https://boxd.it/ffyw,
20,eXistenZ,1999,https://boxd.it/27Ni,
21,Under the Skin,2013,https://boxd.it/3mDa,
22,Pandorum,2009,https://boxd.it/1Eo4,
23,Underwater,2020,https://boxd.it/fN4q,
24,Coherence,2013,https://boxd.it/6xza,
25,Glorious,2022,https://boxd.it/zrn6,
26,In the Earth,2021,https://boxd.it/s652,
27,The Outwaters,2022,https://boxd.it/sgjS,
28,The Mist,2007,https://boxd.it/22r2,
29,Fried Barry,2020,https://boxd.it/qVtK,
