Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-12-25,Curations: Desire,curations,https://boxd.it/r6qpW,"This curation contains films that deal with characters facing very strong and sometimes degenerate sexual and/or romantic attraction. This attraction can be unidirectional or bidirectional, heterosexual or homosexual."

Position,Name,Year,URL,Description
1,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
2,Decision to Leave,2022,https://boxd.it/qp9e,
3,That Obscure Object of Desire,1977,https://boxd.it/22zg,
4,The Five Devils,2022,https://boxd.it/uVsA,
5,Passages,2023,https://boxd.it/xX9c,
6,Blue Is the Warmest Color,2013,https://boxd.it/4O40,
7,Belle de Jour,1967,https://boxd.it/29Uq,
8,La Dolce Vita,1960,https://boxd.it/2anC,
9,Atonement,2007,https://boxd.it/24ui,
10,Y Tu Mamá También,2001,https://boxd.it/28QM,
11,Carol,2015,https://boxd.it/7DPK,
12,The Dreamers,2003,https://boxd.it/28X4,
13,The Worst Person in the World,2021,https://boxd.it/oyws,
14,La Belle Noiseuse,1991,https://boxd.it/1RxI,
15,Bitter Moon,1992,https://boxd.it/1W76,
16,Cul-de-sac,1966,https://boxd.it/23QW,
17,The Handmaiden,2016,https://boxd.it/948A,
18,Eyes Wide Shut,1999,https://boxd.it/2axs,
19,The Unbearable Lightness of Being,1988,https://boxd.it/1VKc,
20,Dangerous Liaisons,1988,https://boxd.it/29r4,
21,In the Realm of the Senses,1976,https://boxd.it/22qS,
22,The Piano Teacher,2001,https://boxd.it/2886,
23,Persona,1966,https://boxd.it/29B4,
24,Betty Blue,1986,https://boxd.it/1SBw,
25,Women on the Verge of a Nervous Breakdown,1988,https://boxd.it/24GI,
26,The Bitter Tears of Petra von Kant,1972,https://boxd.it/1WzE,
27,Young & Beautiful,2013,https://boxd.it/5B0Q,
28,Fatal Attraction,1987,https://boxd.it/1UTC,
29,Perfume: The Story of a Murderer,2006,https://boxd.it/28LW,
30,Sanctuary,2022,https://boxd.it/wPKW,
31,Nymphomaniac: Vol. I,2013,https://boxd.it/7DiG,
32,Crash,1996,https://boxd.it/29n2,
33,The Duke of Burgundy,2014,https://boxd.it/7kwu,
34,Shame,2011,https://boxd.it/2CxU,
35,Boogie Nights,1997,https://boxd.it/23um,
36,Black Swan,2010,https://boxd.it/Sw0,
37,Lolita,1962,https://boxd.it/29Ag,
38,American Beauty,1999,https://boxd.it/71Y,
39,Mulholland Drive,2001,https://boxd.it/297o,
40,Before Sunrise,1995,https://boxd.it/2bcU,
41,Matador,1986,https://boxd.it/20EI,
42,Tristana,1970,https://boxd.it/1bPg,
43,2 or 3 Things I Know About Her,1967,https://boxd.it/20Am,
44,Contempt,1963,https://boxd.it/2aJe,
45,9½ Weeks,1986,https://boxd.it/1XaA,
46,Body Heat,1981,https://boxd.it/1O9S,
47,Basic Instinct,1992,https://boxd.it/2asM,
48,Damage,1992,https://boxd.it/1URm,
49,Cruel Intentions,1999,https://boxd.it/29Be,
50,Love,2015,https://boxd.it/9brE,
51,Risky Business,1983,https://boxd.it/1YUE,
52,Secretary,2002,https://boxd.it/1URc,
53,In the Mood for Love,2000,https://boxd.it/29tE,
54,Vicky Cristina Barcelona,2008,https://boxd.it/23rW,
55,Last Tango in Paris,1972,https://boxd.it/28pw,
56,La Belle Époque,2019,https://boxd.it/lXCE,
57,Double Lover,2017,https://boxd.it/g7ay,
58,The Last Seduction,1994,https://boxd.it/1w4g,
59,The Souvenir,2019,https://boxd.it/gXU4,
60,The Souvenir: Part II,2021,https://boxd.it/gXTK,
61,Trans-Europ-Express,1966,https://boxd.it/3c9Y,
