Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-04-08,Curations: Hard Sci-Fi & Extreme Realism,curations,https://boxd.it/g7ehO,"This curation contains a mix of two types of films:

- Films that are under the Science Fiction genre, but that are specifically characterized for their concern of accuracy & logic. A prime example of this is <a href=""https://letterboxd.com/film/primer/"" rel=""nofollow"">Primer</a> by Shane Carruth.
- Films that are extremely realistic, with a mild to strong science fiction component, and do not necessarily rely on rigorous scientific theory, but the film mechanics are flawless & coherent. A prime example of this is <a href=""https://letterboxd.com/film/stalker/"" rel=""nofollow"">Stalker</a> by Andrei Tarkovsky."

Position,Name,Year,URL,Description
1,Possessor,2020,https://boxd.it/fsJW,
2,Primer,2004,https://boxd.it/6YA,
3,Warning,2021,https://boxd.it/lrko,
4,Lapsis,2020,https://boxd.it/oMAo,
5,The Endless,2017,https://boxd.it/ffyw,
6,Annihilation,2018,https://boxd.it/9yzm,
7,Minor Premise,2020,https://boxd.it/oBew,
8,Blade Runner 2049,2017,https://boxd.it/b8wK,
9,Children of Men,2006,https://boxd.it/1Y2i,
10,Ex Machina,2015,https://boxd.it/7T2k,
11,Stalker,1979,https://boxd.it/28PO,
12,Moon,2009,https://boxd.it/1IGQ,
13,Prospect,2018,https://boxd.it/iijg,
14,Upstream Color,2013,https://boxd.it/4Cwc,
15,Antiviral,2012,https://boxd.it/475Y,
16,Infinity Pool,2023,https://boxd.it/oPSK,
17,Coherence,2013,https://boxd.it/6xza,
18,Come True,2020,https://boxd.it/iG90,
19,Arrival,2016,https://boxd.it/aNGk,
20,Gattaca,1997,https://boxd.it/29Du,
21,Contagion,2011,https://boxd.it/13rq,
22,Interstellar,2014,https://boxd.it/4VZ8,
23,eXistenZ,1999,https://boxd.it/27Ni,
