Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-12-29,Curations: Middle-Eastern Conflicts,curations,https://boxd.it/rfbrG,"This curation includes films & limited series that deal directly or indirectly with armed and/or sociopolitical conflicts located in the Middle East while realistically depicting the events.

Movies are in alphabetically ascending order."

Position,Name,Year,URL,Description
1,The Hurt Locker,2008,https://boxd.it/1Soi,
2,Incendies,2010,https://boxd.it/Msm,
3,Lebanon,2009,https://boxd.it/1hLk,
4,Mosul,2019,https://boxd.it/mRBW,
5,A Separation,2011,https://boxd.it/gvo,
6,The Insult,2017,https://boxd.it/gLYy,
7,Theeb,2014,https://boxd.it/8VKg,
8,Caliphate,2020,https://boxd.it/q7vG,
9,Zero Dark Thirty,2012,https://boxd.it/3n1w,
10,Waltz with Bashir,2008,https://boxd.it/1ZFA,
11,Guy Ritchie's The Covenant,2023,https://boxd.it/xjcK,
12,The Stoning of Soraya M.,2008,https://boxd.it/1fxU,
13,Timbuktu,2014,https://boxd.it/7UrK,
14,The Square,2013,https://boxd.it/4Yqg,
15,A Prophet,2009,https://boxd.it/1BGE,
16,The Salesman,2016,https://boxd.it/d2we,
17,Capernaum,2018,https://boxd.it/iM3s,
18,No Man's Land,2001,https://boxd.it/20kI,
19,The White Helmets,2016,https://boxd.it/eGuu,
20,For Sama,2019,https://boxd.it/l9wQ,
21,The Battle of Algiers,1966,https://boxd.it/1IRY,
