Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-12-26,Curations: Plot-Twists,curations,https://boxd.it/r8bGM,"This curation contains films that have impecable plot twists.

<b>Note</b>: For some people <i>(myself included)</i>, the mere mention of a movie containing a plot twist can actually spoil the film. Check this curation at your own risk."

Position,Name,Year,URL,Description
1,Incendies,2010,https://boxd.it/Msm,
2,The Handmaiden,2016,https://boxd.it/948A,
3,Leviathan,2014,https://boxd.it/7Ub8,
4,Oldboy,2003,https://boxd.it/29R2,
5,Gone Girl,2014,https://boxd.it/6hQu,
6,Come True,2020,https://boxd.it/iG90,
7,Mommy,2014,https://boxd.it/7Uau,
8,Caché,2005,https://boxd.it/2amY,
