Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-12-29,Curations: Proustian Delight,curations,https://boxd.it/reJ2e,"This curation includes beautiful movies that portray cherished moments of love, sadness, anger & nostalgia mixed with coming of age experiences, and specially, human relationships & romantic endeavors."

Position,Name,Year,URL,Description
1,All These Sleepless Nights,2016,https://boxd.it/d55U,
2,The Great Beauty,2013,https://boxd.it/5ty6,
3,The Worst Person in the World,2021,https://boxd.it/oyws,
4,Blue Is the Warmest Color,2013,https://boxd.it/4O40,
5,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
6,In the Mood for Love,2000,https://boxd.it/29tE,
7,Columbus,2017,https://boxd.it/eCuA,
8,The Square,2017,https://boxd.it/e5YW,
9,La Belle Noiseuse,1991,https://boxd.it/1RxI,
10,Belle de Jour,1967,https://boxd.it/29Uq,
11,Passages,2023,https://boxd.it/xX9c,
12,Roma,2018,https://boxd.it/f69M,
13,The Tree of Life,2011,https://boxd.it/1Zu8,
14,Time Regained,1999,https://boxd.it/KJ6,
