Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-12-27,Curations: Soundtrack,curations,https://boxd.it/r9GEO,"This curation contains a collection of films & series with outstanding sound design.

Check the official playlist <a href=""https://open.spotify.com/playlist/5FX9GinIfEmbgeaL4U9qwa?si=cbd644bd21ad4e98"" rel=""nofollow"">here</a>."

Position,Name,Year,URL,Description
1,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
2,Blade Runner 2049,2017,https://boxd.it/b8wK,
3,Youth,2015,https://boxd.it/9Y7S,
4,Interstellar,2014,https://boxd.it/4VZ8,
5,The Handmaiden,2016,https://boxd.it/948A,
6,Suspiria,2018,https://boxd.it/cioI,
7,I Origins,2014,https://boxd.it/7aRM,
8,Primer,2004,https://boxd.it/6YA,
9,All That Jazz,1979,https://boxd.it/1JB8,
10,The Young Girls of Rochefort,1967,https://boxd.it/26K8,
11,Beyond the Black Rainbow,2010,https://boxd.it/EzY,
12,Mandy,2018,https://boxd.it/gtti,
13,Dune,2021,https://boxd.it/fA7G,
14,Anima,2019,https://boxd.it/mxuc,
15,Hereditary,2018,https://boxd.it/hNVe,
16,Midsommar,2019,https://boxd.it/jhxe,
17,A Clockwork Orange,1971,https://boxd.it/2aVE,
18,Drive,2011,https://boxd.it/IG,
19,I Know This Much Is True,2020,https://boxd.it/pVeo,
20,Synchronic,2019,https://boxd.it/k3M2,
21,Annihilation,2018,https://boxd.it/9yzm,
22,Titane,2021,https://boxd.it/nlQC,
23,Mommy,2014,https://boxd.it/7Uau,
24,A Girl Walks Home Alone at Night,2014,https://boxd.it/7nZE,
25,Poor Things,2023,https://boxd.it/tNWU,
