Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-12-29,Curations: The Human Experience,curations,https://boxd.it/reOc4,"This curation contains films that accurately depict the human experience and its multiple facets. Films that cause strong emotions, positive or negative, because we can closely relate.

This list might be extremely subjective, but hell, experiences are subjective, right?

Films are ordered alphabetically in ascending order."

Position,Name,Year,URL,Description
1,You Won't Be Alone,2022,https://boxd.it/xjIG,
2,Incendies,2010,https://boxd.it/Msm,
3,Come and See,1985,https://boxd.it/1w9q,
4,Anatomy of a Fall,2023,https://boxd.it/yuDE,
5,Requiem for a Dream,2000,https://boxd.it/29VI,
6,The Great Beauty,2013,https://boxd.it/5ty6,
7,Youth,2015,https://boxd.it/9Y7S,
8,Shame,1968,https://boxd.it/1tZo,
9,I Know This Much Is True,2020,https://boxd.it/pVeo,
10,Sick of Myself,2022,https://boxd.it/tEzs,
11,The Square,2017,https://boxd.it/e5YW,
12,Aftersun,2022,https://boxd.it/Arw0,
13,A Separation,2011,https://boxd.it/gvo,
14,Through a Glass Darkly,1961,https://boxd.it/1TrW,
15,The Magician,1958,https://boxd.it/1nse,
16,Stalker,1979,https://boxd.it/28PO,
17,Mommy,2014,https://boxd.it/7Uau,
18,A Girl Walks Home Alone at Night,2014,https://boxd.it/7nZE,
19,First Reformed,2017,https://boxd.it/go9C,
20,Hour of the Wolf,1968,https://boxd.it/1H9G,
21,Caché,2005,https://boxd.it/2amY,
22,Ivan's Childhood,1962,https://boxd.it/1j6y,
