Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-12-28,Movements: Italian Giallo,movements,https://boxd.it/rcdRU,"Italian Giallo is a genre of murder mystery fiction that often contains slasher, thriller, psychological horror, sexploitation, and, less frequently, supernatural horror elements."

Position,Name,Year,URL,Description
1,All the Colors of the Dark,1972,https://boxd.it/1kkQ,
2,The Bird with the Crystal Plumage,1970,https://boxd.it/1DDW,
3,Blood and Black Lace,1964,https://boxd.it/1qme,
4,The Cat o' Nine Tails,1971,https://boxd.it/1rPm,
5,Deep Red,1975,https://boxd.it/1E1E,
6,Don't Torture a Duckling,1972,https://boxd.it/Gfc,
7,Four Flies on Grey Velvet,1971,https://boxd.it/1kN4,
8,The Girl Who Knew Too Much,1963,https://boxd.it/1qou,
9,A Lizard in a Woman's Skin,1971,https://boxd.it/9Sq,
10,Opera,1987,https://boxd.it/1E2M,
11,Phenomena,1985,https://boxd.it/1o4s,
12,The Possessed,1965,https://boxd.it/3xFm,
13,The Psychic,1977,https://boxd.it/1ray,
14,Short Night of Glass Dolls,1971,https://boxd.it/12K2,
15,The Strange Vice of Mrs Wardh,1971,https://boxd.it/1kkw,
16,Tenebre,1982,https://boxd.it/1mRM,
17,What Have They Done to Your Daughters?,1974,https://boxd.it/2hS8,
18,What Have You Done to Solange?,1972,https://boxd.it/21uY,
