Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-03-22,Plex Films - LME-QNAP-6S4R,"owned, plex",https://boxd.it/fUfBu,"Movies in currently have in my LME-QNAP-6S4R Plex Server, ordered alphabetically in ascending order."

Position,Name,Year,URL,Description
1,10 Cloverfield Lane,2016,https://boxd.it/aZiu,
2,10 Things I Hate About You,1999,https://boxd.it/23AO,
3,12 Angry Men,1957,https://boxd.it/2auI,
4,12 Years a Slave,2013,https://boxd.it/2D2e,
5,127 Hours,2010,https://boxd.it/SLa,
6,1917,2019,https://boxd.it/jj4y,
7,1922,2017,https://boxd.it/g8CS,
8,2 or 3 Things I Know About Her,1967,https://boxd.it/20Am,
9,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
10,2010,1984,https://boxd.it/24lK,
11,20th Century Women,2016,https://boxd.it/bqU6,
12,21 Grams,2003,https://boxd.it/2ajK,
13,24 Frames,2017,https://boxd.it/d6YG,
14,25th Hour,2002,https://boxd.it/28LC,
15,28 Days Later,2002,https://boxd.it/2aXU,
16,28 Weeks Later,2007,https://boxd.it/28Bi,
17,3 Days to Kill,2014,https://boxd.it/5Ntq,
18,300,2006,https://boxd.it/28XI,
19,The 39 Steps,1935,https://boxd.it/2aKc,
20,"4 Months, 3 Weeks and 2 Days",2007,https://boxd.it/27DW,
21,The 400 Blows,1959,https://boxd.it/2b1C,
22,45 Years,2015,https://boxd.it/9ZPG,
23,491,1964,https://boxd.it/2Wv0,
24,(500) Days of Summer,2009,https://boxd.it/1EmM,
25,'71,2014,https://boxd.it/7nWK,
26,8MM,1999,https://boxd.it/20sC,
27,8½,1963,https://boxd.it/2aqm,
28,9½ Weeks,1986,https://boxd.it/1XaA,
29,"¡A volar, joven!",1947,https://boxd.it/2U76,
30,Abbas Kiarostami: The Art of Living,2003,https://boxd.it/egU2,
31,About Schmidt,2002,https://boxd.it/26mU,
32,The Abyss,1989,https://boxd.it/26mK,
33,Accident,1967,https://boxd.it/2AHS,
34,Ace in the Hole,1951,https://boxd.it/1vXk,
35,The Act of Killing,2012,https://boxd.it/44Cg,
36,The Adam Project,2022,https://boxd.it/q2Dg,
37,The Addams Family,1991,https://boxd.it/267g,
38,Adieu Philippine,1962,https://boxd.it/5PW,
39,Adoration,2019,https://boxd.it/hysw,
40,Adventureland,2009,https://boxd.it/1JTQ,
41,The Adventures of Picasso,1978,https://boxd.it/OVU,
42,The African Queen,1951,https://boxd.it/2ai8,
43,After Lucia,2012,https://boxd.it/491O,
44,After the Rehearsal,1984,https://boxd.it/XLO,
45,After the Wedding,2006,https://boxd.it/25eg,
46,After Yang,2021,https://boxd.it/lx5a,
47,Aftersun,2022,https://boxd.it/Arw0,
48,The Age of Innocence,1993,https://boxd.it/1WgM,
49,Age of Uprising: The Legend of Michael Kohlhaas,2013,https://boxd.it/5Fle,
50,"Aguirre, the Wrath of God",1972,https://boxd.it/27Fe,
51,A.I. Artificial Intelligence,2001,https://boxd.it/29Ve,
52,Air,2023,https://boxd.it/Arlc,
53,Airplane!,1980,https://boxd.it/29yu,
54,Akira,1988,https://boxd.it/2b1i,
55,Aladdin,1992,https://boxd.it/29yE,
56,Aladdin,2019,https://boxd.it/eSjy,
57,The Alchemist Cookbook,2016,https://boxd.it/dg9S,
58,Alexander Nevsky,1938,https://boxd.it/1WKC,
