Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-01-06,Plex Limited Series - LME-ASUSROGSC,,https://boxd.it/CjD98,

Position,Name,Year,URL,Description
1,Dekalog,1989,https://boxd.it/bv4u,
2,The Curse,2023,https://boxd.it/IWYq,
3,The North Water,2021,https://boxd.it/q0nq,
4,Berlin Alexanderplatz,1980,https://boxd.it/B9mo,
5,Drops of God,2023,https://boxd.it/GY3M,
6,I Know This Much Is True,2020,https://boxd.it/pVeo,
7,The Devil's Hour,2022,https://boxd.it/DxFS,
8,I May Destroy You,2020,https://boxd.it/qX9i,
9,The Night Of,2016,https://boxd.it/eC1I,
10,Sharp Objects,2018,https://boxd.it/j3NM,
11,A Murder at the End of the World,2023,https://boxd.it/JIma,
12,Bodyguard,2018,https://boxd.it/vC2U,
13,The Young Pope,2016,https://boxd.it/g3y2,
14,The New Pope,2020,https://boxd.it/oWDC,
15,Sweetpea,2024,https://boxd.it/QMrs,
