Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-12-28,Top 20 Films,"top 20, profile",https://boxd.it/rc8WA,"My Top 20 Films (no particular ranking), since 4 movies are not nearly enough."

Position,Name,Year,URL,Description
1,The Great Beauty,2013,https://boxd.it/5ty6,<p>One of the only movies that accurately manages to capture Proust’s ambiance.</p>
2,Andrei Rublev,1966,https://boxd.it/29lg,<p>Andrei Rublev has that quality found in some of the most relevant literary pieces. It watches as an <b>absolute epic</b>. Andrei Rublev is a deep metaphysical meditation on the nature of faith.</p>
3,Belle de Jour,1967,https://boxd.it/29Uq,"The provocative work of the century, made possible by the master provocateur. I've never been so attracted to an actress the way I became attracted to Deneuve in this film."
4,Persona,1966,https://boxd.it/29B4,This movie will always feel contemporary to me. It literally transcends time.
5,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,The most beautiful depiction of romance I've ever seen.
6,Shame,1968,https://boxd.it/1tZo,The most painful depiction of cowardice I've ever seen.
7,Youth,2015,https://boxd.it/9Y7S,"The most breathtaking closing scene I've ever seen. Also, the only movie that has made me desperately cry."
8,Stalker,1979,https://boxd.it/28PO,The most enigmatic & hypnotic movie I've ever seen.
9,Incendies,2010,https://boxd.it/Msm,"<p>The strongest twist I've ever experienced in cinema. Also, one of the most heartbreaking endings I've ever seen.</p>"
10,Suspiria,2018,https://boxd.it/cioI,"The atmosphere, the way the bodies move, the performances, the soundtrack, the cinematography, everything is perfect in Suspiria 2018."
11,Mommy,2014,https://boxd.it/7Uau,"The most insane closing scene (tied with <a href=""https://letterboxd.com/film/incendies/"" title=""Incendies""><b>Incendies</b></a>) I’ve experienced"
12,The Exterminating Angel,1962,https://boxd.it/1nRS,The most eloquent and pungent critic to high society I’ve seen
13,The Handmaiden,2016,https://boxd.it/948A,The most erotic film I’ve ever seen.
14,That Obscure Object of Desire,1977,https://boxd.it/22zg,The most insanely accurate depiction of jealousy and desire I’ve seen.
15,Hour of the Wolf,1968,https://boxd.it/1H9G,The scariest film I’ve seen.
