Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-12-26,Untitled Work I,,https://boxd.it/Bz3TW,

Position,Name,Year,URL,Description
1,Poor Things,2023,https://boxd.it/tNWU,
2,Metropolis,1927,https://boxd.it/71a,
3,First Reformed,2017,https://boxd.it/go9C,
4,Beau Is Afraid,2023,https://boxd.it/u2gE,
5,Red Rooms,2023,https://boxd.it/ym4c,
6,Through a Glass Darkly,1961,https://boxd.it/1TrW,
7,The Great Beauty,2013,https://boxd.it/5ty6,
8,Stalker,1979,https://boxd.it/28PO,
9,Andrei Rublev,1966,https://boxd.it/29lg,
10,Mirror,1975,https://boxd.it/28Q8,
11,The Sacrifice,1986,https://boxd.it/1xg8,
12,I Stand Alone,1998,https://boxd.it/28Au,
13,Hour of the Wolf,1968,https://boxd.it/1H9G,
14,Marketa Lazarová,1967,https://boxd.it/1uSS,
15,Werckmeister Harmonies,2000,https://boxd.it/1zzw,
16,The Turin Horse,2011,https://boxd.it/2Qsk,
17,Satantango,1994,https://boxd.it/1j9M,
18,The House That Jack Built,2018,https://boxd.it/dWO4,
19,The Passion of Joan of Arc,1928,https://boxd.it/29DO,
20,Vampyr,1932,https://boxd.it/29DY,
21,Ivan's Childhood,1962,https://boxd.it/1j6y,
22,Solaris,1972,https://boxd.it/2a2Y,
23,The Seventh Seal,1957,https://boxd.it/2ahO,
24,The Bitter Tears of Petra von Kant,1972,https://boxd.it/1WzE,
25,The Celebration,1998,https://boxd.it/2aCM,
26,Persona,1966,https://boxd.it/29B4,
27,Au Hasard Balthazar,1966,https://boxd.it/1E3g,
28,"The Devil, Probably",1977,https://boxd.it/1hJe,
29,Dekalog,1989,https://boxd.it/bv4u,
30,Caché,2005,https://boxd.it/2amY,
31,The Double Life of Véronique,1991,https://boxd.it/28va,
32,Alice in the Cities,1974,https://boxd.it/27cG,
33,Perfect Days,2023,https://boxd.it/ATh8,
34,"Paris, Texas",1984,https://boxd.it/29Ts,
35,The American Friend,1977,https://boxd.it/1UkC,
36,The Piano Teacher,2001,https://boxd.it/2886,
