Date,Name,Year,Letterboxd URI,Rating
2020-07-24,The Magician,1958,https://boxd.it/1nse,5
2020-07-24,Shame,1968,https://boxd.it/1tZo,5
2020-07-24,The Wolf of Wall Street,2013,https://boxd.it/3C1m,4
2020-07-24,Stalker,1979,https://boxd.it/28PO,5
2020-07-24,Mirror,1975,https://boxd.it/28Q8,5
2020-07-24,Andrei Rublev,1966,https://boxd.it/29lg,5
2020-07-24,The Shining,1980,https://boxd.it/29Nu,4
2020-07-24,Fight Club,1999,https://boxd.it/2a9q,4
2020-07-24,Inception,2010,https://boxd.it/1skk,4
2020-07-24,Belle de Jour,1967,https://boxd.it/29Uq,5
2020-07-24,The Exterminating Angel,1962,https://boxd.it/1nRS,5
2020-07-24,That Obscure Object of Desire,1977,https://boxd.it/22zg,5
2020-07-24,Viridiana,1961,https://boxd.it/24eE,5
2020-07-24,The Great Beauty,2013,https://boxd.it/5ty6,5
2020-07-24,Youth,2015,https://boxd.it/9Y7S,5
2020-07-24,Loro,2018,https://boxd.it/jKqw,3
2020-07-24,The New Pope,2020,https://boxd.it/oWDC,5
2020-07-24,Fanny and Alexander,1982,https://boxd.it/22go,5
2020-07-24,The Shawshank Redemption,1994,https://boxd.it/2aHi,4
2020-07-24,Au Revoir les Enfants,1987,https://boxd.it/288U,4
2020-07-24,Watchmen,2009,https://boxd.it/1QE4,5
2020-07-24,There Will Be Blood,2007,https://boxd.it/20Z2,5
2020-07-24,Memento,2000,https://boxd.it/2bcK,3
2020-07-24,The Dark Knight,2008,https://boxd.it/2b0k,4
2020-07-24,Pierrot le Fou,1965,https://boxd.it/26j2,5
2020-07-24,Band of Outsiders,1964,https://boxd.it/20Aw,5
2020-07-24,Cul-de-sac,1966,https://boxd.it/23QW,5
2020-07-24,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,4
2020-07-24,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,5
2020-07-25,Primer,2004,https://boxd.it/6YA,5
2020-07-25,Interstellar,2014,https://boxd.it/4VZ8,5
2020-07-25,The Imitation Game,2014,https://boxd.it/6aig,4
2020-07-25,Moonrise Kingdom,2012,https://boxd.it/2Wng,4
2020-07-25,Apur Sansar,1959,https://boxd.it/29l6,4
2020-07-25,All That Jazz,1979,https://boxd.it/1JB8,5
