Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-12-11,You Won't Be Alone,2022,https://boxd.it/5iPbYF,5,,"Hands down the best horror film I’ve seen in a very long time. This one feels extremely real, close, and overall, it’s absolutely beautiful. So raw and human it’s painful.

Similar in tone to The Witch, Perfume: Story of a Murderer, etc. this movie is something else.",,2023-12-06
2023-12-11,The Outwaters,2022,https://boxd.it/5iPc0B,4,,"This one was obviously very polarizing. You can clearly see how people hated it or loved it. True, it’s made for a very specific audience, but I gotta say <b>The Outwaters</b> was one of the most disturbing experiences I’ve ever had with any film.

There is something primal that is inherently evil with this movie. This is the perfect Lovecraftian story.",,2023-12-02
2023-12-11,Anima,2019,https://boxd.it/5iPcah,5,,A spell-binding piece of art to behold for the ages. This is Witchcraft.,,2022-08-21
2023-12-11,New Order,2020,https://boxd.it/5iPcbf,,,"As a Mexican who grew up and lives in Mexico City, this could have been so much, but instead chose the easy way out; a provocative garbage that counts on shock value alone because it lacks any type of substance, that is too full of itself, and that does not care to talk about the underlying problems, nor create any type of meaningful connection with any character whatsoever.

What an ignorant and reductionist way to look at Mexico’s socioeconomic problems. If the movie is not even trying, why should I try?

This sounds more like a political campaign add gone bad, than an actual movie.

What a waste of time.

Here Michel Franco, you can have 0 stars. Go learn something from Alfonso Cuarón.

0/5",,2022-06-05
2023-12-11,Twin Peaks: Fire Walk with Me,1992,https://boxd.it/5iPcbJ,4.5,,"This film will make absolute sense if you already watched the entire Twin Peaks show <i>(The original one + The Return)<i>. Without context, this would've been still an excellent film but maybe difficult to put together, but the fact that this can be watched as the lost tape that explains Laura Palmer's behavior is simply breathtaking.

Highly recommended if you're a Twin Peaks lover. There are some scenes here you'll never forget.",,2022-05-15
2023-12-11,Bone Tomahawk,2015,https://boxd.it/5iPciv,4.5,,That fucking scene…,,2022-03-17
2023-12-11,Whiplash,2014,https://boxd.it/5iPcuh,5,,"I saw this one roughly 7 - 8 years ago and I still remember most of it very vividly. Excellent performances, excellent soundtrack, excellent everything.",,2021-07-04
2023-12-11,All That Jazz,1979,https://boxd.it/5iPcvf,5,,"This is a masterpiece. An emotional tour de force that will leave you begging for Joe to put his shit together before it's too late. The problem is that, before you even know it, it's too late. Heartbreaking stuff.",,2021-07-04
2023-12-11,Andrei Rublev,1966,https://boxd.it/5iPcvT,5,,"I saw this film when exploring Tarkovsky's work (I saw 3 - 4 of his films during COVID lock-down), and all of them left me speechless, but there's something about Andrei Rublev that hit harder & deeper. I thought for a while since it was so unusual, and then I realized...

Andrei Rublev gave me the exact same feeling to that of reading The Brothers Karamazov. From that point I understood that Tarkovsky was a master to behold for the ages, not just as a director, but as a human being.

Andrei Rublev is a beautiful piece of art where faith is put to the test, where beliefs mutate & seem fragile, where greed becomes evident & violence corrupts the soul. Andrei Rublev is expansive, magnanimous, and manages to echo to places I never thought existed.

This film is a true masterpiece that will stay in my heart forever.

5/5",,2021-07-04
2023-12-11,Stalker,1979,https://boxd.it/5iPcxP,5,,"I remember reading House of Leaves by Mark Z. Danielewski and immediately thinking I had read a haunted book. If there's such thing as a haunted film, this is it. But what does it mean for a piece of art to be haunted?

In the case of Stalker, I would say it's many things: the cinematography, the atmosphere, the selection of colors, the camera movements, the music & sound, the performances, the camera angles, the pace, and I think I'm missing a few, but the message here is that it's a collection of a lot of components very carefully put together.

But then, what does it mean for a piece of art to be haunted? Well, it haunts our mind, it makes it very difficult to forget, like it almost became a part of us, a real experience we lived. In fact, I think of Stalker as a mirror to one-self. A mirror so powerful it reflects our own spirituality while asking the question: What do we want in life? Do we even know?

But how does Stalker achieve this? I think there are two key components:
1. Because of its pacing and atmosphere, it provides a safe space for us to be able to get entirely lost and enter a meditative state. We become hypnotized, and every external stimuli suddenly disappears, just as when we meditate. The difference is that when meditating, we're often not stimulated visually and are most probably not following a story. Thus, Stalker takes the role of our own imagination, of the sequence of images being unraveled in front of us as we fall into a deep state of trance.
2. The ambiguity of many of the plot devices, and the plot itself, make us surrender to the fact that we might not ultimately know it all. The faster we accept this & let go, the faster the movie starts to sink in. The faster we stop thinking of Stalker as some mystery we must decipher, the faster we will truly know its meaning.

So, what are my thoughts, and why is Stalker one of my favorite art pieces of all time?

Stalker felt like a beautiful, nostalgic & horrific dream throughout the entire 162 minutes of runtime. And in the end, when I wake up, I know it was all a dream, but nonetheless I feel that something has changed inside me, forever, at a spiritual level. I know I saw my inner-self in some way. I know I may even have involuntarily meditated.

I don't really know how to describe this movie since it's so unconventional. I also don't know how Tarkovsky pulled this off, how he imagined such complex sequences in his head prior to putting them on screen, how he managed to make me feel with such intensity without having a clue of what I was feeling at the moment. This movie seems impossible, almost like an enchanted paradox to some extent. I literally wanted to cry when it ended, and I had no idea why. I now realize I had gone through one of the most intense therapy sessions I've experienced.

Stalker is the horror film you never knew it was a horror film, the film you never knew you desperately needed, the film that will slowly creep on you and haunt you for the rest of your life, the film that inspired so many other works it's now part of the collective unconscious. Such deep spirituality embedded in this masterpiece it's sometimes difficult to make sense of it, but the funny thing is, it sounds too familiar as well, since it's a mirror to one's soul.

I'm afraid we'll never get something remotely close to Tarkovsky. Such a unique & intriguing mind.

Recommendations:
- If possible, watch Stalker on a big screen with proper audio (noise cancelling headphones should work great), also, watch it uninterrupted, the same way as you would do a meditation session. Put yourself in a comfortable position and let go.
- Same as I did, you may actually come out a different person if you have the patience to withstand this 3-hour long masterpiece.",,2021-07-03
