Name,Surname,Real Name,Type,Gender,Nationality,Complete Name (Name Surname),Complete Name (Surname Name)
A.J.,Liebling,,"Journalist, Press Critic",Male,American,"A.J., Liebling","Liebling, A.J."
Abbas,Kiarostami,,"Film Director, Screenwriter",Male,Iranian,"Abbas, Kiarostami","Kiarostami, Abbas"
Achille,Mbembe,,"Philosopher, Political Theorist",Male,Cameroonian,"Achille, Mbembe","Mbembe, Achille"
Adam,Smith,,"Philosopher, Economist",Male,Scottish,"Adam, Smith","Smith, Adam"
Agesander,of Rhodes,,Sculptor,Male,Greek,"Agesander, of Rhodes","of Rhodes, Agesander"
Agnes,Martin,,Painter,Female,"Canadian, American","Agnes, Martin","Martin, Agnes"
Agnes,Pelton,,"Painter, Mystic",Female,"German, American","Agnes, Pelton","Pelton, Agnes"
Agnès,Varda,,"Film Director, Screenwriter",Female,French,"Agnès, Varda","Varda, Agnès"
Agnieszka,Holland,,"Film Director, Screenwriter",Female,Polish,"Agnieszka, Holland","Holland, Agnieszka"
Agota,Kristof,,"Novelist, Playwright",Female,"Hungarian, Swiss","Agota, Kristof","Kristof, Agota"
Aharon,Appelfeld,,"Novelist, Short Story Writer",Male,Israeli,"Aharon, Appelfeld","Appelfeld, Aharon"
Akira,Kurosawa,,"Film Director, Screenwriter",Male,Japanese,"Akira, Kurosawa","Kurosawa, Akira"
Alain,Badiou,,"Philosopher, Playwright",Male,French,"Alain, Badiou","Badiou, Alain"
Albert Joseph,Pénot,,Painter,Male,French,"Albert Joseph, Pénot","Pénot, Albert Joseph"
Albert von,Keller,,Painter,Male,Swiss,"Albert von, Keller","Keller, Albert von"
Albert,Camus,,"Philosopher, Writer, Novelist, Playwright",Male,French,"Albert, Camus","Camus, Albert"
Albert,Pinkham Ryder,,Painter,Male,American,"Albert, Pinkham Ryder","Pinkham Ryder, Albert"
Alberto,Giacometti,,"Sculptor, Painter",Male,Swiss,"Alberto, Giacometti","Giacometti, Alberto"
Alberto,Moravia,,"Novelist, Short Story Writer, Journalist",Male,Italian,"Alberto, Moravia","Moravia, Alberto"
Albrecht,Dürer,,"Painter, Printmaker, Theorist",Male,German,"Albrecht, Dürer","Dürer, Albrecht"
Aleister,Crowley,,"Occultist, Mystic Philosopher",Male,British,"Aleister, Crowley","Crowley, Aleister"
Alejandro González,Iñárritu,,"Film Director, Producer, Screenwriter",Male,Mexican,"Alejandro González, Iñárritu","Iñárritu, Alejandro González"
Alejandro,Jodorowsky,,"Film Director, Screenwriter, Artist",Male,"Chilean, French","Alejandro, Jodorowsky","Jodorowsky, Alejandro"
Aleksandr,Rodchenko,,"Painter, Sculptor, Photographer, Graphic Designer",Male,Russian,"Aleksandr, Rodchenko","Rodchenko, Aleksandr"
Aleksandr,Sokurov,,Film Director,Male,Russian,"Aleksandr, Sokurov","Sokurov, Aleksandr"
Aleksandr,Solzhenitsyn,,"Novelist, Historian",Male,Russian,"Aleksandr, Solzhenitsyn","Solzhenitsyn, Aleksandr"
Aleksei,Balabanov,,"Film Director, Screenwriter",Male,Russian,"Aleksei, Balabanov","Balabanov, Aleksei"
Aleksei,German,,"Film Director, Screenwriter",Male,Russian,"Aleksei, German","German, Aleksei"
Alex,Garland,,"Film Director, Screenwriter",Male,British,"Alex, Garland","Garland, Alex"
Alexander,Bard,,"Philosopher, Artist",Male,Swedish,"Alexander, Bard","Bard, Alexander"
Alexander,Calder,,Sculptor,Male,American,"Alexander, Calder","Calder, Alexander"
Alexandre,Dumas,,"Novelist, Playwright",Male,French,"Alexandre, Dumas","Dumas, Alexandre"
Alexandre,Kojève,,Philosopher,Male,"Russian, French","Alexandre, Kojève","Kojève, Alexandre"
Alexandre,Seon,,Painter,Male,French,"Alexandre, Seon","Seon, Alexandre"
Alexandre,Séon,,Painter,Male,French,"Alexandre, Séon","Séon, Alexandre"
Alexandros,Alexandrakis,,Painter,Male,Greek,"Alexandros, Alexandrakis","Alexandrakis, Alexandros"
Alfred North,Whitehead,,"Philosopher, Mathematician",Male,British,"Alfred North, Whitehead","Whitehead, Alfred North"
Alfred,Döblin,,"Novelist, Essayist",Male,German,"Alfred, Döblin","Döblin, Alfred"
